"City","Population","Elevation","AdministrativeDivision","Country"
"Americana",229322,5.6e2,"São Paulo, Brazil","Brazil"
"Jacarei",226539,5.7e2,"São Paulo, Brazil","Brazil"
"Presidente Prudente",222192,4.6e2,"São Paulo, Brazil","Brazil"
"Maracanau",196700,51.,"Ceara, Brazil","Brazil"
"Santarem",194600,41.,"Para, Brazil","Brazil"
"Sao Jose",210513,29.,"Santa Catarina, Brazil","Brazil"
"Itapevi",223404,7.5e2,"São Paulo, Brazil","Brazil"
"Hortolandia",215819,6.e2,"São Paulo, Brazil","Brazil"
"Rio Grande",198048,4.,"Rio Grande Do Sul, Brazil","Brazil"
"Araraquara",226508,7.5e2,"São Paulo, Brazil","Brazil"
"Santa Barbara dOeste",190139,5.7e2,"São Paulo, Brazil","Brazil"
"Luziania",174546,9.7e2,"Goias, Brazil","Brazil"
"Rio Claro",201473,6.2e2,"São Paulo, Brazil","Brazil"
"Passo Fundo",178200,6.5e2,"Rio Grande Do Sul, Brazil","Brazil"
"Juazeiro",218324,3.7e2,"Bahia, Brazil","Brazil"
"Palmas",265090,2.5e2,"Tocantins, Brazil","Brazil"
"Aracatuba",192757,4.e2,"São Paulo, Brazil","Brazil"
"Cachoeiro de Itapemirim",209878,62.,"Espirito Santo, Brazil","Brazil"
"Cotia",229548,9.2e2,"São Paulo, Brazil","Brazil"
"Parnamirim",214199,55.,"Rio Grande do Norte, Brazil","Brazil"
"Indaiatuba",235367,6.3e2,"São Paulo, Brazil","Brazil"
"Barra Mansa",179915,4.4e2,"Rio de Janeiro, Brazil","Brazil"
"Ferraz de Vasconcelos",184700,7.8e2,"São Paulo, Brazil","Brazil"
"Criciuma",211369,60.,"Santa Catarina, Brazil","Brazil"
"Dourados",215486,4.4e2,"Mato Grosso do Sul, Brazil","Brazil"
"Macae",239471,23.,"Rio de Janeiro, Brazil","Brazil"
"Rondonopolis",222316,2.3e2,"Mato Grosso, Brazil","Brazil"
"Arapiraca",231053,2.7e2,"Alagoas, Brazil","Brazil"
"Ilheus",160700,5.,"Bahia, Brazil","Brazil"
"Lages",158846,8.9e2,"Santa Catarina, Brazil","Brazil"
"Sabara",126269,8.1e2,"Minas Gerais, Brazil","Brazil"
"Barreiras",141081,4.4e2,"Bahia, Brazil","Brazil"
"Maraba",157100,80.,"Para, Brazil","Brazil"
"Itajai",200565,5.,"Santa Catarina, Brazil","Brazil"
"Nova Friburgo",184786,9.4e2,"Rio de Janeiro, Brazil","Brazil"
"Nilopolis",157986,15.,"Rio de Janeiro, Brazil","Brazil"
"Sobral",153200,68.,"Ceara, Brazil","Brazil"
"Chapeco",209553,6.5e2,"Santa Catarina, Brazil","Brazil"
"Guarapuava",180364,1.1e3,"Parana, Brazil","Brazil"
"Ibirite",162867,9.1e2,"Minas Gerais, Brazil","Brazil"
"Itapecerica da Serra",167236,7.9e2,"São Paulo, Brazil","Brazil"
"Francisco Morato",168243,8.2e2,"São Paulo, Brazil","Brazil"
"Nossa Senhora do Socorro",179661,22.,"Sergipe, Brazil","Brazil"
"Sao Caetano do Sul",158024,7.7e2,"São Paulo, Brazil","Brazil"
"Cabo de Santo Agostinho",144068,21.,"Pernambuco, Brazil","Brazil"
"Angra dos Reis",188276,1.9e2,"Rio de Janeiro, Brazil","Brazil"
"Pocos de Caldas",152435,1.3e3,"Minas Gerais, Brazil","Brazil"
"Rio Verde",138625,7.e2,"Goias, Brazil","Brazil"
"Castanhal",183917,42.,"Para, Brazil","Brazil"
"Itu",167095,5.8e2,"São Paulo, Brazil","Brazil"
"Camaragibe",155054,44.,"Pernambuco, Brazil","Brazil"
"Jequie",162592,2.1e2,"Bahia, Brazil","Brazil"
"Parnaiba",145729,13.,"Piaui, Brazil","Brazil"
"Aguas Lindas de Goias",159378,1.2e3,"Goias, Brazil","Brazil"
"Braganca Paulista",160665,8.3e2,"São Paulo, Brazil","Brazil"
"Queimados",143632,37.,"Rio de Janeiro, Brazil","Brazil"
"Pindamonhangaba",162327,5.4e2,"São Paulo, Brazil","Brazil"
"Paranagua",148232,4.,"Parana, Brazil","Brazil"
"Timon",127396,80.,"Maranhao, Brazil","Brazil"
"Cabo Frio",127051,6.,"Rio de Janeiro, Brazil","Brazil"
"Teresopolis",127039,9.3e2,"Rio de Janeiro, Brazil","Brazil"
"Itapetininga",160070,6.8e2,"São Paulo, Brazil","Brazil"
"Mogi Guacu",147233,6.e2,"São Paulo, Brazil","Brazil"
"Patos de Minas",146416,8.3e2,"Minas Gerais, Brazil","Brazil"
"Sapucaia",121799,23.,"Rio Grande Do Sul, Brazil","Brazil"
"Jau",143283,5.3e2,"São Paulo, Brazil","Brazil"
"Jaragua do Sul",148353,37.,"Santa Catarina, Brazil","Brazil"
"Cubatao",127006,8.,"São Paulo, Brazil","Brazil"
"Parauapebas",196259,1.6e2,"Para, Brazil","Brazil"
"Palhoca",116987,19.,"Santa Catarina, Brazil","Brazil"
"Uruguaiana",116261,66.,"Rio Grande Do Sul, Brazil","Brazil"
"Botucatu",139483,7.9e2,"São Paulo, Brazil","Brazil"
"Alagoinhas",154495,1.3e2,"Bahia, Brazil","Brazil"
